station_code,Vs30
AOMH14,516.6667
AOMH15,750.6667
AOMH16,288.6667
AOMH17,480.6667
AOMH18,585.3333
CHBH06,260.6667
CHBH14,245.6667
CHBH16,390.0
CHBH17,566.6667
CHBH20,1920.0
EHMH01,993.3333
EHMH02,553.4
EHMH03,730.0
EHMH04,320.6667
EHMH05,497.6
EHMH06,1208.0
EHMH07,391.3333
EHMH08,508.0
EHMH09,279.3333
EHMH10,567.3333
EHMH11,1289.6667
EHMH13,848.0
FKIH01,1556.6667
FKIH02,428.0
FKIH03,888.0
FKIH04,300.0
FKIH05,194.6667
FKIH06,482.6667
FKIH07,545.3333
FKOH01,1345.3333
FKOH02,419.0
FKOH03,540.6667
FKOH04,477.8
FKOH05,1544.0
FKOH06,1016.6667
FKOH07,276.6667
FKOH08,915.0
FKOH09,590.0
FKOH10,1080.6667
FKSH01,1190.6667
FKSH02,525.3333
FKSH03,402.3333
FKSH04,317.0
FKSH05,1038.0
FKSH06,918.3333
FKSH07,1339.3333
FKSH08,746.6667
FKSH09,1376.0
FKSH10,676.6667
FKSH11,245.3333
FKSH12,636.0
FKSH13,973.3333
FKSH14,251.3333
FKSH15,890.0
FKSH16,682.6667
FKSH17,916.0
FKSH18,407.3333
FKSH19,496.6667
FKSH20,350.0
FKSH21,407.6667
GIFH03,541.3333
GIFH04,597.3333
GIFH05,370.6667
GIFH06,476.0
GIFH07,664.6667
GIFH08,490.6667
GIFH09,260.0
GIFH10,495.3333
GIFH11,1127.3333
GIFH12,770.0
GIFH13,679.0
GIFH14,738.6667
GIFH15,373.3333
GIFH16,1033.3333
GIFH17,562.0
GIFH18,668.0
GIFH19,958.3333
GIFH20,892.0
GIFH21,1305.3333
GIFH22,906.6667
GIFH23,802.3333
GIFH24,1386.6667
GIFH25,500.0
GIFH26,511.3333
GIFH27,898.6667
GIFH28,400.0
GIFH29,512.0
GNMH07,804.0
GNMH08,352.0
GNMH09,946.0
GNMH10,804.0
GNMH11,470.6667
GNMH12,648.0
GNMH13,370.0
GNMH14,1209.3333
HDKH01,525.3333
HDKH02,530.6667
HDKH03,473.3333
HDKH04,266.6667
HDKH05,927.3333
HDKH06,460.0
HDKH07,507.3333
HRSH01,612.5333
HRSH02,774.8
HRSH03,686.6667
HRSH04,812.0
HRSH05,382.6667
HRSH06,308.3333
HRSH07,471.3333
HRSH08,910.0
HRSH09,674.6667
HRSH10,308.0
HRSH11,1196.0
HRSH12,1318.0
HRSH13,894.6667
HRSH14,607.0
HRSH15,991.0
HRSH16,1068.0
HRSH17,1334.0
HRSH18,550.0
HYGH01,372.8667
HYGH02,943.0
HYGH03,1134.0
HYGH04,808.6667
HYGH05,1016.6667
HYGH06,452.6667
HYGH07,600.6667
HYGH08,449.4
HYGH09,515.1333
HYGH10,240.8
HYGH11,342.6667
HYGH12,902.3333
HYGH13,468.6667
HYGH14,896.0
HYGH15,730.0
HYMH01,474.0
HYMH02,563.3333
HYMH03,822.0
IBRH06,539.5667
IBRH10,200.0
IBRH11,286.6667
IBRH12,592.6667
IBRH13,372.3333
IBRH14,1425.3333
IBRH15,882.0
IBRH16,1031.0
IBRH17,331.3333
IBRH18,625.0
IBRH19,1126.6667
IBRH20,253.3333
IBUH01,397.3333
IBUH02,751.6667
IBUH03,136.6667
IBUH04,506.0
IBUH05,513.3333
IBUH06,316.6667
IBUH07,277.3333
IKRH01,421.3333
IKRH02,141.3333
IKRH03,526.6667
ISKH01,364.6667
ISKH02,758.0
ISKH03,394.0
ISKH04,444.0
ISKH05,934.6667
ISKH06,552.0
ISKH07,440.0
ISKH08,494.6667
ISKH09,749.3333
IWTH01,645.3333
IWTH02,573.0
IWTH03,1386.6667
IWTH04,585.0
IWTH05,500.3333
IWTH06,648.0
IWTH07,750.0
IWTH08,396.0
IWTH09,1274.6667
IWTH10,744.0
IWTH11,428.6667
IWTH12,418.6667
IWTH13,1265.3333
IWTH14,1318.0
IWTH15,386.0
IWTH16,558.6667
IWTH17,1776.0
IWTH18,1490.0
IWTH19,609.3333
IWTH20,314.0
